displacement,force
-0.00487,0.15243743
-0.00162,0.15243743
-0.00325,0.1600593
-0.00325,0.1600593
-0.00325,0.17530305
-0.00162,0.16768117
-0.0065,0.17530305
-0.00162,0.17530305
-0.00487,0.16768117
-0.00487,0.1600593
-0.00325,0.17530305
-0.00325,0.1600593
-0.00487,0.17530305
-0.00325,0.16768117
-0.00487,0.17530305
-0.00487,0.17530305
0,0.16768117
-0.00325,0.19054679
-0.00325,0.1600593
-0.00487,0.18292492
-0.00325,0.18292492
-0.00325,0.18292492
-0.00325,0.17530305
-0.00325,0.17530305
-0.00162,0.18292492
-0.0065,0.17530305
-0.00487,0.18292492
-0.0065,0.17530305
-0.00487,0.19054679
-0.00487,0.18292492
-0.00162,0.19054679
-0.00325,0.16768117
-0.00325,0.17530305
-0.00162,0.18292492
-0.00325,0.18292492
-0.00487,0.17530305
-0.00162,0.18292492
-0.00487,0.18292492
-0.00325,0.19054679
-0.00487,0.18292492
-0.00162,0.19816866
-0.00162,0.18292492
-0.00487,0.19054679
-0.00325,0.19054679
-0.00325,0.18292492
-0.00325,0.18292492
-0.00325,0.18292492
-0.00162,0.18292492
-0.00325,0.18292492
-0.00325,0.19054679
-0.00325,0.18292492
-0.00325,0.18292492
-0.00325,0.18292492
-0.00162,0.18292492
-0.0065,0.18292492
-0.0065,0.19054679
-0.00487,0.18292492
-0.00487,0.19054679
-0.00487,0.17530305
-0.00162,0.19054679
-0.00487,0.19054679
-0.00487,0.18292492
-0.00325,0.19054679
-0.00487,0.19054679
-0.00162,0.19816866
-0.00487,0.18292492
-0.00325,0.18292492
-0.0065,0.19054679
-0.00325,0.18292492
-0.00325,0.18292492
-0.00162,0.19816866
-0.00325,0.19054679
-0.00325,0.19816866
-0.00325,0.19816866
-0.00487,0.19816866
-0.00162,0.19054679
-0.00487,0.19054679
-0.00487,0.19054679
-0.00325,0.19054679
-0.00487,0.18292492
-0.0065,0.18292492
-0.00325,0.17530305
-0.00325,0.19816866
-0.00325,0.18292492
-0.00325,0.19054679
-0.00325,0.19054679
-0.00325,0.19816866
-0.00487,0.17530305
-0.00162,0.19054679
-0.00162,0.18292492
-0.00325,0.18292492
-0.00162,0.19816866
-0.00325,0.17530305
-0.00325,0.18292492
-0.00325,0.18292492
-0.00325,0.18292492
-0.00325,0.19054679
-0.00325,0.19054679
-0.00487,0.17530305
-0.00487,0.17530305
-0.00162,0.19054679
-0.00325,0.18292492
-0.00487,0.18292492
-0.00162,0.19054679
-0.00325,0.19054679
-0.00325,0.18292492
-0.00325,0.18292492
-0.00325,0.19054679
-0.00325,0.19054679
-0.00487,0.18292492
-0.00162,0.18292492
-0.00325,0.19054679
-0.00325,0.19816866
-0.00325,0.19054679
-0.00487,0.18292492
-0.00325,0.19054679
-0.00162,0.19054679
-0.00325,0.19816866
-0.00487,0.18292492
-0.00162,0.18292492
0,0.17530305
-0.00325,0.18292492
-0.00487,0.19054679
-0.0065,0.18292492
-0.00325,0.18292492
-0.00487,0.19816866
-0.00325,0.18292492
-0.00487,0.18292492
-0.00162,0.19054679
-0.00325,0.18292492
-0.00325,0.19054679
-0.00162,0.18292492
-0.00325,0.18292492
0,0.19054679
-0.00325,0.18292492
-0.00487,0.17530305
-0.00162,0.17530305
-0.00325,0.17530305
-0.00162,0.18292492
-0.00487,0.17530305
-0.00487,0.18292492
-0.00487,0.18292492
-0.00487,0.17530305
-0.00487,0.18292492
-0.00487,0.17530305
-0.00487,0.18292492
-0.00487,0.18292492
-0.0065,0.18292492
-0.00325,0.17530305
-0.00162,0.18292492
-0.00162,0.18292492
-0.00325,0.17530305
-0.00325,0.16768117
-0.00325,0.18292492
-0.00325,0.16768117
-0.00325,0.16768117
-0.00487,0.16768117
-0.00487,0.16768117
-0.00487,0.17530305
-0.00325,0.17530305
-0.00325,0.1600593
-0.00162,0.1600593
-0.00325,0.17530305
-0.00325,0.16768117
-0.00325,0.17530305
-0.00325,0.1600593
-0.0065,0.16768117
-0.00325,0.16768117
-0.00162,0.15243743
-0.00487,0.1600593
-0.00162,0.15243743
-0.00487,0.15243743
-0.00325,0.16768117
-0.00325,0.16768117
-0.00487,0.1600593
-0.00162,0.1600593
-0.00487,0.16768117
-0.00325,0.17530305
-0.00487,0.15243743
-0.00487,0.1600593
-0.00325,0.1600593
-0.00487,0.1600593
-0.00487,0.16768117
-0.00487,0.1600593
-0.00487,0.15243743
-0.00162,0.15243743
-0.00487,0.1600593
-0.00325,0.16768117
-0.00325,0.16768117
-0.00487,0.16768117
-0.00325,0.1600593
-0.00162,0.1600593
-0.0065,0.16768117
0,0.15243743
-0.00325,0.15243743
-0.0065,0.14481556
-0.00487,0.14481556
-0.00325,0.12957182
-0.00325,0.12957182
-0.00162,0.12194995
-0.00325,0.12194995
-0.00325,0.12194995
-0.00487,0.12194995
-0.00325,0.12194995
-0.00487,0.12194995
-0.00325,0.12194995
-0.00487,0.11432807
-0.00325,0.13719369
-0.00325,0.12957182
-0.00325,0.12194995
-0.00325,0.12194995
-0.00325,0.11432807
-0.00487,0.12194995
-0.00325,0.12194995
-0.00162,0.12194995
-0.00162,0.12957182
-0.00325,0.11432807
-0.00487,0.11432807
-0.00487,0.1067062
-0.00487,0.12194995
-0.00325,0.1067062
-0.00162,0.13719369
-0.00487,0.11432807
-0.00325,0.11432807
-0.00487,0.11432807
-0.00487,0.1067062
-0.00162,0.12194995
-0.00487,0.12957182
-0.00325,0.13719369
-0.00325,0.12194995
-0.00325,0.12194995
-0.00325,0.1067062
-0.0065,0.11432807
0,0.1067062
-0.00487,0.11432807
-0.00487,0.12194995
-0.00325,0.12194995
-0.00162,0.1067062
-0.00487,0.12194995
-0.00487,0.11432807
-0.00325,0.1067062
-0.0065,0.12194995
-0.00162,0.09908433
-0.00162,0.12194995
-0.00487,0.09908433
-0.00162,0.11432807
-0.00325,0.12194995
-0.00325,0.11432807
-0.00487,0.12194995
-0.00162,0.12194995
-0.00325,0.12194995
-0.00325,0.12957182
-0.00325,0.12194995
-0.00325,0.12194995
-0.00487,0.12194995
-0.00487,0.12194995
-0.00325,0.13719369
-0.00325,0.12957182
-0.00325,0.13719369
-0.00325,0.12194995
-0.0065,0.13719369
-0.00487,0.12957182
-0.00487,0.12957182
-0.0065,0.13719369
-0.00162,0.13719369
-0.0065,0.14481556
-0.00325,0.13719369
-0.00162,0.14481556
